id,hypothesis,task,category,evidence_available,intervention,prediction_if_true,falsification_criterion,cost,status,decision
H9,DA is channel-capacity limited,DA,channel capacity,"z16/z32/z128 da_fg = 0.7612/0.7736/0.7656, non-monotone. Phase3C: da_mIoU inside noise across all allocations (0.8490-0.8589). Probe C (lambda_det 0.2): +0.27x noise at z16, +0.01x at z32.","No new intervention - already saturated under channel, encoder, shared-Z and gradient interventions",REJECTED as the dominant DA bottleneck,Already falsified: four independent capacity interventions moved DA by less than 1x noise,none,REJECTED (as dominant),Do not spend GPU here; DA capacity work is closed
H10,DA is spatial-resolution limited,DA,spatial resolution,"1/8 -> 1/4 block-fill reference for DA is 0.8753 -> 0.9410, so resolution offers 0.07-0.13. But r0_z16 scores 0.7699 against a 1/8 block-fill reference of 0.8801: it is 0.11 BELOW the score of the trivial 'paint every touched cell' strategy. Boundary band at the model's real granularity (16 native px = one 1/8 cell) holds 28.4% of DA foreground; at 8 px only 14.7%.",Per-band 1/8 ceiling vs per-band achieved IoU (STEP2),"If DA at 1/4 approaches 0.87, resolution is the dominant DA bottleneck",Achieved IoU stays ~0.11 below its own per-band ceiling at every band -> resolution is not what keeps DA down,zero-training,REJECTED,"REJECTED. The model has not reached the resolution-defined bar, so raising the bar cannot be the fix. Do not spend a training run on DA resolution."
H11,DA is far-field semantic/context limited,DA,semantic capacity,"After cropping to the letterbox content rows 140-500 and using equal-mass bands, far / mid / near DA agree within noise and R0 is not better than R2 in the far band. The earlier far-field collapse was measured on grey padding.","STEP2: per-band 1/8 ceiling, per-band mixed-block fraction (blocks containing both fg and bg at 1/8), per-band GT area, per-band boundary-to-area ratio","Far field sits much further BELOW its own local ceiling than mid/near do, and the mixed-block fraction does not explain the gap","If the far-field gap to its own ceiling equals the mid/near gap, the far-field deficit is geometry/annotation, not semantics -> H11 REJECTED and reclassified",zero-training,REJECTED as dominant,REJECTED as the dominant DA factor. See H11-alt and H18.
H11-alt,"The far-field deficit is an annotation/evaluation artefact, not a semantic bottleneck",DA,annotation,Ground truth has 0.0% of its drivable area in the top third of the 640 canvas; content occupies rows 140-500. The 'far-field collapse' disappears once the padding is removed.,"STEP2: per-band mixed-block fraction, per-band GT area share, per-band boundary fraction; and the same banding applied to R0 which does not route detection through Z","If far-field mixed-block fraction is much higher, the lower IoU is partly an evaluation ceiling; if R0 does not show the same far-field collapse, the deficit is attributable to the R2 routing, not to the labels","If R0 and R2 collapse identically in the far field, the cause is the data, not the architecture",zero-training,SUPPORTED,SUPPORTED. The far-field deficit was an evaluation artefact. Any future banding must crop first.
H12,DA is loss/supervision limited (far-field gradient is diluted),DA,supervision,"Far field occupies a small fraction of image area, so even a large per-pixel error there may contribute little to the DA loss.","STEP2 loss-side statistics: per-band pixel share, per-band loss contribution share, foreground/background ratio, per-pixel loss contribution",Far-field pixels contribute far less to the DA loss than their error rate warrants,"If per-band loss share is proportional to per-band error, H12 is REJECTED",zero-training,OPEN,Statistics only; a loss intervention requires a separate gate
H13,Task gradient conflict is the dominant limitation,all,task sharing,All pairwise cosines on Z are ~0 (|cos| < 0.06 at every width). Probe C: forcing near-parity of gradient magnitude cost -13.07x noise mAP50 and returned +0.27x noise on DA.,"Already intervened causally (lambda_det = 0.2 at 20ep, two widths)",REJECTED,Falsified by direct intervention with a manipulation check that passed (weighted det share fell from ~0.75 to 0.33/0.47),none,REJECTED,Closed. Do not repeat gradient balancing (explicitly forbidden as a repeat)
H14,The shared representation itself is the dominant limitation,all,task sharing,"Probes A (per-task width), B (reconstruction receptive field and depth), C (gradient share) and Phase 3B/3C (wider Z) all failed to move DA or lane. But probe A at 20ep showed that changing ONLY the lane branch moved detection by -2.53x noise, so the tasks are coupled through Z.","Deferred: compare shared vs task-private Z at matched parameters (architecture stage, not Phase 5)",Sharing imposes a measurable cost on detection,"If a private-Z variant at matched params is not better, sharing is not the binding constraint",deferred,PARTIALLY SUPPORTED,"Cost of sharing is real for detection; sharing is NOT the main lever for segmentation. Architecture decision, post-Phase 5"
H15,Different tasks have fundamentally different bottleneck types,all,taxonomy,"Detection scales with encoder capacity (Phase3A monotone, Phase3C encoder-heavy wins); lane sits exactly on a model-free resolution ceiling; DA is capacity-saturated but far-field deficient.",The whole of Phase 5 - this is the meta-hypothesis,No single intervention improves all three tasks; each task responds to a different axis,"If any single intervention improves detection, DA and lane together by >= 2x noise, H15 is REJECTED",whole phase,OPEN,Meta-hypothesis; verdict only after STEP 4
H16,Lane's resolution bottleneck is threshold-like rather than gradual,lane,spatial resolution,"Section 8 of the brief. The 1/8 ceiling is met exactly, which is what a hard geometric threshold looks like rather than a soft capacity limit.",Only decide after 1/4 and (conditionally) 1/2 are measured,1/4 clears the ceiling substantially while 1/2 adds nothing,"If gains are gradual across 1/8 -> 1/4 -> 1/2, the bottleneck is capacity-like, not a threshold",conditional,OPEN,Determines whether the result is a principle (threshold) or just another scaling curve
H17,"Lane has TWO stacked bottlenecks: quantisation (precision, the head cannot paint thinner than its grid) and continuity (recall, whole segments are missed). They have different fixes.",lane,semantic capacity / context,"r0_z16: precision 0.2049, recall 0.6706, painted/GT area 3.55x, fg IoU 0.1845, against a 1/8 block-fill reference of 0.1854 (recall 1.0 by construction). The model is marginally MORE parsimonious than block-fill while missing a third of the target: it is trading recall for precision along the 1/8 isoquant. Label geometry rules out a width explanation for the misses - all 11-14 lane classes are 3.3-4.1 px - so a missed segment is missed for appearance or continuity reasons.","Decompose the probe result into precision and recall instead of reading fg IoU alone. A 1/4 head should move precision. If it moves recall too, continuity was downstream of resolution; if recall stays at 0.67, continuity is a separate bottleneck.","l14f1 raises precision above 0.2049 while recall stays near 0.67, leaving a residual recall gap that no resolution rung closes.","recall rises in proportion to precision, i.e. the missing segments were simply too thin to survive at 1/8 and reappear once the grid is finer.",zero (re-score existing probe checkpoints),OPEN,
H18,"DA is limited by region-level semantic identification (which regions count as drivable) rather than by resolution, boundary localisation or channel capacity.",DA,semantic / context,"r0_z16 DA: fg IoU 0.7699 vs a 1/8 block-fill reference of 0.8801 (delta -0.11); recall 0.9841 saturated; precision 0.7795; painted/GT area 1.319x; tolerance curve flat (tol0 0.7699 -> tol8 0.7951, only +0.025); boundary band holds 28.4% of foreground at the model's granularity. Flat tolerance rules out a thin misaligned rim; being below the block-fill reference rules out resolution; recall saturation rules out missed regions. What is left is over-inclusion.","Anatomy of the false positives (4B-4): connected-component size distribution, distance from each FP component to the nearest GT foreground, and whether components touch the image border. Blobs far from GT = semantic confusion; a <=2 px rim = boundary precision, which the flat tolerance curve already argues against.","FP components are large, contiguous, and located in places that look drivable but are not labelled - adjacent lanes beyond a median, turn pockets, road-like shoulders - rather than forming a rim around the true region.","FP is dominated by components within a few px of GT, or by a thin rim, which would put the error back on boundary localisation.",zero (re-score existing predictions),OPEN,
