# PercepFlex 全量标号统一 —— 路径重命名映射表 (v3, 历史阶段纳入)
# 生成时间: 2026-09-10
# 依据: docs/PHASE*_*.md 明文归属 + experiments/README.md + 目录 mtime + 引用关系扫描
# 列: kind,old_path,new_path,confidence,evidence,action
#
# confidence: HIGH = 有文档明文归属; MED = 有间接证据(同期/引用); LOW = 推断
# action: RENAME = git mv + 引用同步; KEEP = 已合规不动; REGISTER = 仅登记别名
#
# 规范语法:
#   experiments/phase<n><字母>/<slug>/            阶段实验目录(已合规,不动)
#   experiments/phase1b/<slug>/                   历史 Phase1B 目录归位
#   experiments/phase2b/<slug>/                   历史 Phase2 目录归位
#   experiments/phase2c/<slug>/
#   experiments/_<工具目录>                        非实验(模板/图)
#   docs/PHASE<n><字母>_<SLUG>.md                 阶段报告(大写)
#   docs/PHASE<n><字母><字母>_<SLUG>.md           合体报告(如 PHASE4BC_)
#   configs/phase<n><字母>_<slug>.yaml
#   scripts/phase<n><字母>_<slug>.{sh,py}
#   根级报告禁止存在 -> 一律归 docs/

kind,old_path,new_path,confidence,evidence,action
file,scripts/exp5_pareto.py,scripts/phase1_exp5_pareto.py,HIGH,"exp5=Phase1 Pareto",RENAME
file,scripts/expA_analyze.py,scripts/phase2c_expa_analyze.py,HIGH,"expA=Phase2C",RENAME
file,scripts/expA_eval_and_report.sh,scripts/phase2c_expa_eval_and_report.sh,HIGH,"expA=Phase2C",RENAME
file,scripts/expA_finish.sh,scripts/phase2c_expa_finish.sh,HIGH,"expA=Phase2C",RENAME
file,scripts/expA_seeds.sh,scripts/phase2c_expa_seeds.sh,HIGH,"expA=Phase2C",RENAME
file,scripts/expA_launch.sh,scripts/phase2c_expa_launch.sh,HIGH,"根级脚本",RENAME
file,scripts/expA_monitor.sh,scripts/phase2c_expa_monitor.sh,HIGH,"根级脚本",RENAME
file,scripts/expD_analyze.py,scripts/phase2b_expd_analyze.py,MED,"expD=compact-z",RENAME
file,scripts/expD_compact_z.sh,scripts/phase2b_expd_compact_z.sh,MED,"同上",RENAME
file,scripts/expFG_analyze.py,scripts/phase2b_expfg_analyze.py,MED,"expF/expG 分析",RENAME
file,scripts/expFG_wait_and_report.sh,scripts/phase2b_expfg_wait_and_report.sh,MED,"同上",RENAME
file,scripts/expF_single_teacher.sh,scripts/phase2b_expf_single_teacher.sh,MED,"同上",RENAME
file,scripts/expF_offline.sh,scripts/phase2b_expf_offline.sh,MED,"同上",RENAME
file,scripts/expF_offline10.sh,scripts/phase2b_expf_offline10.sh,MED,"同上",RENAME
file,scripts/expF_remaining.sh,scripts/phase2b_expf_remaining.sh,MED,"同上",RENAME
file,scripts/expI_fair_D.sh,scripts/phase2b_expi_fair_d.sh,MED,"expI=KD dynamic",RENAME
file,scripts/expI_kd_dynamic.sh,scripts/phase2b_expi_kd_dynamic.sh,MED,"同上",RENAME
file,scripts/phase2_step1_budget.sh,scripts/phase2_step1_budget.sh,HIGH,"小写 step->STEP 仅文本层,文件名保留小写",KEEP
file,scripts/phase2_step2_eval.sh,scripts/phase2_step2_eval.sh,HIGH,"同上",KEEP
file,scripts/phase2_step2_singleKD.sh,scripts/phase2_step2_singlekd.sh,MED,"驼峰->小写",RENAME
# ---------- experiments/phase2 报告文件名: STEP -> P2-STEP ----------
file,experiments/phase2/STEP1_REPORT.md,experiments/phase2/P2-STEP1_REPORT.md,HIGH,"Phase2 Stage-A 等预算基线运行日志",RENAME
file,experiments/phase2/STEP2_REPORT.md,experiments/phase2/P2-STEP2_REPORT.md,HIGH,"Phase2 单 teacher KD 受控复核",RENAME
# ---------- configs/ 规范 ----------
file,configs/ours_0.5M.yaml,configs/phase2_ours_0.5m.yaml,MED,"容量档基线",RENAME
file,configs/ours_1.0M.yaml,configs/phase2_ours_1.0m.yaml,MED,"同上",RENAME
file,configs/ours_2.0M.yaml,configs/phase2_ours_2.0m.yaml,MED,"同上",RENAME
file,configs/ours_static.yaml,configs/phase2_ours_static.yaml,MED,"静态基线",RENAME
file,configs/train_stageA.yaml,configs/phase1b_train_stage_a.yaml,HIGH,"StageA=Phase1B 训练",RENAME
file,configs/train_stageA_0.5M.yaml,configs/phase1b_train_stage_a_0.5m.yaml,HIGH,"同上",RENAME
file,configs/train_stageA_1.0M.yaml,configs/phase1b_train_stage_a_1.0m.yaml,HIGH,"同上",RENAME
file,configs/train_stageA_2.0M.yaml,configs/phase1b_train_stage_a_2.0m.yaml,HIGH,"同上",RENAME
file,configs/train_stageA_eb.yaml,configs/phase1b_train_stage_a_eb.yaml,HIGH,"同上",RENAME
file,configs/train_stageA_kd_YOLOP.yaml,configs/phase1b_train_stage_a_kd_yolop.yaml,HIGH,"同上",RENAME
file,configs/train_stageA_kd_TriLiteNet.yaml,configs/phase1b_train_stage_a_kd_trlitenet.yaml,HIGH,"同上",RENAME
file,configs/train_stageA_kd_TwinLiteNetPlus.yaml,configs/phase1b_train_stage_a_kd_twinlitenetplus.yaml,HIGH,"同上",RENAME
file,configs/train_stageA_offkd_YOLOP.yaml,configs/phase1b_train_stage_a_offkd_yolop.yaml,HIGH,"同上",RENAME
file,configs/train_stageA_offkd_TriLiteNet.yaml,configs/phase1b_train_stage_a_offkd_trlitenet.yaml,HIGH,"同上",RENAME
file,configs/train_stageA_offkd_TwinLiteNetPlus.yaml,configs/phase1b_train_stage_a_offkd_twinlitenetplus.yaml,HIGH,"同上",RENAME
file,configs/train_stageB.yaml,configs/phase1b_train_stage_b.yaml,HIGH,"同上",RENAME
file,configs/train_stageB_kd.yaml,configs/phase1b_train_stage_b_kd.yaml,HIGH,"同上",RENAME
file,configs/train_stageB_offkd.yaml,configs/phase1b_train_stage_b_offkd.yaml,HIGH,"同上",RENAME
file,configs/train_stageB_shared.yaml,configs/phase1b_train_stage_b_shared.yaml,HIGH,"同上",RENAME
file,configs/train_stageC.yaml,configs/phase1b_train_stage_c.yaml,HIGH,"同上",RENAME
file,configs/train_stageC_diff.yaml,configs/phase1b_train_stage_c_diff.yaml,HIGH,"同上",RENAME
file,configs/train_stageC_offkd.yaml,configs/phase1b_train_stage_c_offkd.yaml,HIGH,"同上",RENAME
file,configs/train_stageC_router.yaml,configs/phase1b_train_stage_c_router.yaml,HIGH,"同上",RENAME
file,configs/train_stageD.yaml,configs/phase1b_train_stage_d.yaml,HIGH,"同上",RENAME
file,configs/train_stageD_diff.yaml,configs/phase1b_train_stage_d_diff.yaml,HIGH,"同上",RENAME
file,configs/train_stageD_offkd.yaml,configs/phase1b_train_stage_d_offkd.yaml,HIGH,"同上",RENAME
file,configs/train_stageD_shared.yaml,configs/phase1b_train_stage_d_shared.yaml,HIGH,"同上",RENAME
file,configs/train_stageU.yaml,configs/phase1b_train_stage_u.yaml,HIGH,"同上",RENAME
file,configs/phase2_stageA_0.235M.yaml,configs/phase2_stage_a_0.235m.yaml,MED,"大小写统一",RENAME
# ---------- 文本层专用(不改文件名, 仅内容规则化) ----------
# Phase 6 已完成的: Round->Phase6A/6B, H-A..N->H-22..35, EXP-n->EXP-0n, GPU-n->P6A-STEPn
# 本轮新增文本规则见 apply_naming_migration.py v3 的 RULES_V3
